D:\Mr Tuan white\Tuan\CONG TRINH\An Giang\Cau Long Binh\TKKT\Ho so xuat\2010-09\30080 & 30090_Bo tri dau mo A1, A2-cau Kenh-new2.dwg,Dau mo cau Kenh so 2,11/17/2010 3:46:56 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. Trung Luong _ My Thuan Expressway\02. Package 1,2,4\Tuan Nau\04. Earthwork slope protection of Abutment\Earthwork slope protection of Abutment OP6.dwg,Layout1,11/23/2010 3:12:32 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. Trung Luong _ My Thuan Expressway\02. Package 1,2,4\Tuan Nau\04. Earthwork slope protection of Abutment\Earthwork slope protection of Abutment OP6.dwg,Layout1,11/23/2010 3:14:05 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. Trung Luong _ My Thuan Expressway\02. Package 1,2,4\Tuan Nau\04. Earthwork slope protection of Abutment\Earthwork slope protection of Abutment OP6.dwg,Layout1,11/23/2010 3:21:07 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. Trung Luong _ My Thuan Expressway\02. Package 1,2,4\Tuan Nau\04. Earthwork slope protection of Abutment\Earthwork slope protection of Abutment OP6.dwg,Layout1,11/23/2010 5:08:33 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 2\03. Railing_drainage_Lighting\Parapet-Drainage-Lighting OP2.dwg,OP2-6,12/10/2010 9:08:51 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 2\03. Railing_drainage_Lighting\Parapet-Drainage-Lighting OP2.dwg,OP2-6,12/10/2010 9:09:07 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 2\03. Railing_drainage_Lighting\Parapet-Drainage-Lighting OP2.dwg,OP2-6,12/10/2010 9:09:39 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 2\03. Railing_drainage_Lighting\Parapet-Drainage-Lighting OP2.dwg,OP2-6,12/10/2010 9:09:55 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 2\04. Slope protection of Abut\Slope protection of Abut OP2.dwg,Layout1,12/10/2010 9:11:40 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 2\04. Slope protection of Abut\Slope protection of Abut OP2.dwg,Layout1,12/10/2010 9:11:53 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 2\04. Slope protection of Abut\Slope protection of Abut OP2.dwg,Layout1,12/10/2010 9:12:06 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 3\01. Expansion Joint\Expansion Joint 10cm_OP3.dwg,Layout1,12/10/2010 9:12:57 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 3\02. Transition Slab\Transition Slab _ OP3.dwg,1,12/10/2010 9:13:33 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 3\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP3.dwg,OP3-4,12/10/2010 9:14:00 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 3\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP3.dwg,OP3-4,12/10/2010 9:14:16 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 3\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP3.dwg,OP3-4,12/10/2010 9:14:32 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 3\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP3.dwg,OP3-4,12/10/2010 9:14:54 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 3\04. Slope protection of Abut\Slope protection of Abut OP3.dwg,Layout1,12/10/2010 9:15:18 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 3\04. Slope protection of Abut\Slope protection of Abut OP3.dwg,Layout1,12/10/2010 9:15:32 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 4\04. Slope protection of Abut\Slope protection of Abut OP4.dwg,Layout1,12/10/2010 9:16:00 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 4\04. Slope protection of Abut\Slope protection of Abut OP4.dwg,Layout1,12/10/2010 9:16:13 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
